epoch,accuracy,loss,val_accuracy,val_loss
0,0.5974662899971008,0.7251786589622498,0.6389016509056091,0.6292248368263245
1,0.6450808048248291,0.6258929967880249,0.6714853644371033,0.6057208180427551
2,0.6620805263519287,0.609397828578949,0.6814287900924683,0.6001114249229431
3,0.6741849184036255,0.598473310470581,0.6895747184753418,0.5837841629981995
4,0.683793842792511,0.5865979790687561,0.6982943415641785,0.5771036148071289
5,0.6969690918922424,0.5719780921936035,0.6895365118980408,0.5831629037857056
6,0.7110813856124878,0.5571340322494507,0.7155423164367676,0.5625825524330139
7,0.7244191765785217,0.5420413017272949,0.7029600739479065,0.5694876909255981
8,0.7313700914382935,0.5306997895240784,0.6464356780052185,0.6335911154747009
9,0.7385027408599854,0.5232542157173157,0.696496844291687,0.5706034898757935
10,0.7433215379714966,0.5170366168022156,0.7240324020385742,0.540143609046936
11,0.745797872543335,0.5134021639823914,0.690186619758606,0.5743879675865173
12,0.7466392517089844,0.5101239681243896,0.6378690600395203,0.6584091186523438
13,0.7485228180885315,0.5097488760948181,0.6680434346199036,0.614220380783081
14,0.7492781281471252,0.5073161125183105,0.69814133644104,0.5675987601280212
15,0.7524237632751465,0.5048730373382568,0.6603564620018005,0.6030112504959106
16,0.7521368861198425,0.5040291547775269,0.668196439743042,0.607252299785614
17,0.7540013194084167,0.501440167427063,0.6746978759765625,0.589577317237854
18,0.7542116641998291,0.5010389089584351,0.6569527387619019,0.6171529293060303
19,0.7566593289375305,0.5000388622283936,0.6895365118980408,0.5696278214454651
20,0.7551104426383972,0.4991968870162964,0.6904160976409912,0.5737857222557068
